Index,area,county,longitude,latitude,price,bathrooms,beds,ber_classification,property_type,surface_area,model
0,Wexford Town,Wexford,-6.480456,52.331215,315000,3,4,C3,detached,,283423.8352
1,Courtown,Wexford,-6.237561,52.646088,149000,1,2,G,semi-detached,68.63,306887.807
2,New Ross,Wexford,-6.935998,52.404472,192000,2,4,C3,semi-detached,105,309334.0017
3,New Ross,Wexford,-6.944524,52.392443,65000,1,2,G,end-of-terrace,45,298003.6789
4,Wexford Town,Wexford,-6.454622,52.332995,130000,1,2,F,terraced,60.73,303251.6566
5,Rosslare Harbour,Wexford,-6.340365,52.249322,185000,2,3,D1,detached,,285976.8143
6,Campile,Wexford,-6.946246,52.331056,299950,2,4,D1,detached,160.3,322726.806
7,New Ross,Wexford,-6.946246,52.331056,299950,2,4,D1,detached,160.3,322726.806
8,New Ross,Wexford,-6.854983,52.3782,190000,2,5,C2,detached,,282386.9809
9,Enniscorthy,Wexford,-6.793841,52.519084,375000,2,3,E2,detached,170,327389.3943
10,New Ross,Wexford,-6.937348,52.404488,105000,2,2,E1,end-of-terrace,70,303054.7758
11,Wexford Town,Wexford,-6.471656,52.340386,148000,1,2,G,semi-detached,,288220.9232
12,Rosslare Harbour,Wexford,-6.339852,52.24695,180000,3,3,C3,semi-detached,,284785.8846
13,Gorey,Wexford,-6.3036,52.609005,150000,2,3,D1,semi-detached,99.2,311741.2761
14,Kilrane,Wexford,-6.355875,52.23774,240000,2,3,C3,detached,,285890.7899
15,Campile,Wexford,-6.906962,52.28819,279500,2,4,C1,detached,185.8,329013.2295
16,Kilmuckridge,Wexford,-6.289166,52.516111,199000,3,4,D1,detached,150,321668.7356
17,Gorey,Wexford,-6.304111,52.676826,149000,1,2,C3,terraced,61,304890.2672
18,Oilgate,Wexford,-6.504393,52.418185,265000,5,4,C2,detached,223,336336.0022
19,Rosslare Strand,Wexford,-6.39938,52.283962,420000,3,4,D1,detached,,283530.1831
20,Enniscorthy,Wexford,-6.575179,52.51156,190000,2,4,D1,semi-detached,,284883.1515
21,Gorey,Wexford,-6.293057547,52.67623644,145000,1,1,Exempt,detached,,291041.4067
22,Barntown,Wexford,-6.594888,52.338163,549000,5,4,C1,detached,385.9,376030.744
